hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2482.36, 0.227009, 2467.27, -118.95, 2492.7, 120.964, 19.712, -179.734, 19.5959, 61.0853, 19.7934, -59.0038
2, 0.00000, 2447.46, -3.39871, 2433.27, -122.435, 2445.37, 117.569, 254.289, -3.99177, 256.574, -123.023, 254.29, 117.047
3, 0.00000, 2501.72, 4.19726, 2481.16, -115.326, 2512.53, 124.617, 285.142, -175.148, 286.7, 65.3142, 284.308, -54.8139
4, 0.00000, 2468.66, 0.53281, 2446.01, -118.748, 2459.45, 121.199, 19.6034, -179.429, 19.427, 61.2881, 19.5293, -58.7694
5, 0.00000, 2469.22, 0.541986, 2446.28, -118.743, 2459.88, 121.204, 19.6078, -179.419, 19.4291, 61.2931, 19.5328, -58.7638
6, 0.00000, 2465.13, 0.483503, 2443.94, -118.785, 2472.56, 121.148, 19.5752, -179.477, 19.4105, 61.2506, 19.6336, -58.8198
7, 0.00000, 2454.69, 0.312079, 2455.12, -118.89, 2464.61, 121.055, 19.4924, -179.65, 19.4995, 61.1465, 19.5702, -58.9127
8, 0.00000, 2469.02, 0.00733618, 2462.01, -119.055, 2466.61, 120.859, 19.6064, -179.954, 19.554, 60.9821, 19.5861, -59.1092
9, 0.00000, 2468.67, -0.255875, 2454.01, -119.194, 2469.74, 120.684, 19.6035, 179.783, 19.4905, 60.8422, 19.6111, -59.2846
10, 0.00000, 2475.24, -0.413243, 2464.82, -119.293, 2478.3, 120.575, 19.6557, 179.626, 19.5764, 60.7436, 19.6789, -59.3928
11, 0.00000, 2463.68, -0.596175, 2459.32, -119.396, 2469.49, 120.464, 19.5639, 179.442, 19.5327, 60.6404, 19.6089, -59.5048
12, 0.00000, 2470.03, -0.753696, 2470.05, -119.494, 2477.89, 120.355, 19.6143, 179.285, 19.6179, 60.542, 19.6758, -59.6128
13, 0.00000, 2470.8, -0.741545, 2470.42, -119.488, 2478.48, 120.363, 19.6204, 179.297, 19.6208, 60.549, 19.6803, -59.6054
14, 0.00000, 2471.77, -0.726339, 2470.87, -119.479, 2479.21, 120.372, 19.6281, 179.312, 19.6245, 60.5576, 19.6862, -59.5961
15, 0.00000, 2469.88, -0.756299, 2469.98, -119.496, 2477.77, 120.354, 19.6133, 179.282, 19.6173, 60.5408, 19.6748, -59.6148
16, 0.00000, 2468.1, -0.784272, 2469.13, -119.512, 2476.42, 120.337, 19.5992, 179.254, 19.6106, 60.525, 19.664, -59.6318
17, 0.00000, 2467.9, -0.787219, 2469.04, -119.513, 2476.27, 120.335, 19.5974, 179.251, 19.6099, 60.5232, 19.6628, -59.6333
18, 0.00000, 2476.06, -0.659214, 2472.88, -119.441, 2482.45, 120.413, 19.6622, 179.38, 19.6404, 60.5955, 19.7119, -59.5558
19, 0.00000, 2480.3, -0.592503, 2474.9, -119.403, 2485.68, 120.453, 19.6959, 179.446, 19.6564, 60.6331, 19.7375, -59.5151
20, 0.00000, 2484.73, -0.5229, 2477, -119.364, 2489.05, 120.496, 19.731, 179.516, 19.6731, 60.6724, 19.7643, -59.4725
21, 0.00000, 2491.83, -0.41115, 2480.39, -119.301, 2494.47, 120.564, 19.7874, 179.628, 19.7, 60.7354, 19.8074, -59.4039
22, 0.00000, 2491.84, -0.411174, 2480.39, -119.301, 2494.47, 120.564, 19.7875, 179.628, 19.7, 60.7354, 19.8074, -59.4039
23, 0.00000, 2485.23, -0.259015, 2485.01, -119.225, 2485.93, 120.67, 19.735, 179.779, 19.7368, 60.8116, 19.7394, -59.2984
24, 0.00000, 2483.16, -0.0303483, 2476.4, -119.086, 2480.88, 120.823, 19.7186, -179.992, 19.6684, 60.9504, 19.6994, -59.1455
