#{"t_start": 1619721656.6790257, "env_id": null}
r,l,t
38965.617261,24,0.707854
24034.431495,24,1.243342
23739.933638,24,1.820868
12824.499425,24,2.377376
30164.689173,24,2.907858
40700.948917,24,3.472372
7253.630053,24,4.087896
46173.712565,24,4.712969
43521.780311,24,5.269528
43521.780311,24,5.814021
34936.263315,24,6.386542
33623.905707,24,6.932946
43521.780312,24,7.481446
40396.139493,24,8.031948
39765.616967,24,8.597462
53206.28374,24,9.116935
41510.717588,24,9.687454
30982.707899,24,10.238958
43521.780311,24,10.783453
52722.055882,24,11.326948
36749.55207,24,11.858371
43521.780311,24,12.390379
32061.082525,24,12.918196
43521.780311,24,13.447678
43521.780311,24,14.002185
43521.780311,24,14.54141
34665.787828,24,15.098081
35186.728888,24,15.637574
42479.903735,24,16.190544
43521.780311,24,16.749053
43521.780312,24,17.289545
43521.780312,24,17.837044
37791.434191,24,18.413569
43521.780311,24,18.981086
43521.780312,24,19.52358
44143.252107,24,20.064209
43521.780311,24,20.61309
43521.780311,24,21.151041
54658.956612,24,21.687531
26057.332945,24,22.25171
43521.780312,24,22.866405
43521.780311,24,23.433922
74915.176672,24,24.006443
43521.780311,24,24.613581
36749.55207,24,25.20612
36546.047867,24,25.774638
43521.780311,24,26.352164
43521.780312,24,26.930068
49332.479598,24,27.498087
35186.728888,24,28.111063
43521.780311,24,28.710609
43521.780311,24,29.268117
36268.15026,24,29.820153
45942.903318,24,30.380663
41911.996364,24,30.946599
43000.844794,24,31.542141
33863.073616,24,32.127206
12693.852591,24,32.675705
43521.780311,24,33.279255
43521.780311,24,33.857783
43521.780311,24,34.457329
43521.780311,24,35.039858
43521.780311,24,35.608376
43521.780312,24,36.175254
43521.780311,24,36.734414
51753.605514,24,37.263897
69682.943952,24,37.816142
43521.780311,24,38.375655
43521.780311,24,38.934164
43322.424819,24,39.470652
16320.667617,24,40.039171
43521.780311,24,40.601682
-0.0,24,41.149181
37270.49313,24,41.628618
43521.780311,24,42.132076
43521.780311,24,42.620312
33623.905707,24,43.100356
16394.94226,24,43.614514
46427.1285,24,44.149592
43000.844796,24,44.670069
43521.780311,24,45.185802
57519.531099,24,45.730297
43521.780312,24,46.299705
43521.780311,24,46.586966
43521.780311,24,46.642017
43521.780311,24,46.696066
43521.780311,24,46.746112
43521.780311,24,46.796157
43521.780311,24,46.844201
43521.780311,24,46.903255
43521.780311,24,46.958305
43521.780311,24,47.01936
43521.780311,24,47.07441
43521.780311,24,47.15156
